SalePrice,OverallQual,YearBuilt,TotalBsmtSF,GrLivArea,TotalArea,AreaPerRoom,GarageCars
208500,7,2003,856,1710,2566,213.75,2
181500,6,1976,1262,1262,2524,210.33333333333334,2
223500,7,2001,920,1786,2706,297.6666666666667,2
140000,7,1915,756,1717,2473,245.28571428571428,3
250000,8,2000,1145,2198,3343,244.22222222222223,3
143000,5,1993,796,1362,2158,272.4,2
307000,8,2004,1686,1694,3380,242.0,2
200000,7,1973,1107,2090,3197,298.57142857142856,2
129900,7,1931,952,1774,2726,221.75,2
118000,5,1939,991,1077,2068,215.4,1
129500,5,1965,1040,1040,2080,208.0,1
345000,9,2005,1175,2324,3499,211.27272727272728,3
144000,5,1962,912,912,1824,228.0,1
279500,7,2006,1494,1494,2988,213.42857142857142,3
157000,6,1960,1253,1253,2506,250.6,1
132000,7,1929,832,854,1686,170.8,2
149000,6,1970,1004,1004,2008,200.8,2
90000,4,1967,0,1296,1296,216.0,2
159000,5,2004,1114,1114,2228,185.66666666666666,2
139000,5,1958,1029,1339,2368,223.16666666666666,1
325300,8,2005,1158,2376,3534,264.0,3
139400,7,1930,637,1108,1745,184.66666666666666,1
230000,8,2002,1777,1795,3572,256.42857142857144,2
129900,5,1976,1040,1060,2100,176.66666666666666,2
154000,5,1968,1060,1060,2120,176.66666666666666,1
256300,8,2007,1566,1600,3166,228.57142857142858,3
134800,5,1951,900,900,1800,180.0,2
306000,8,2007,1704,1704,3408,243.42857142857142,3
207500,5,1957,1484,1600,3084,266.6666666666667,1
68500,4,1927,520,520,1040,130.0,1
40000,4,1920,649,1317,1966,219.5,1
149350,5,1966,1228,1228,2456,204.66666666666666,1
179900,8,2007,1234,1234,2468,176.28571428571428,2
165500,5,1959,1398,1700,3098,283.3333333333333,2
277500,9,2005,1561,1561,3122,260.1666666666667,2
309000,8,2004,1117,2452,3569,272.44444444444446,3
145000,5,1994,1097,1097,2194,182.83333333333334,2
153000,5,1954,1297,1297,2594,259.4,2
109000,5,1953,1057,1057,2114,211.4,1
82000,4,1955,0,1152,1152,192.0,0
160000,6,1965,1088,1324,2412,220.66666666666666,2
170000,5,1959,1350,1328,2678,265.6,1
144000,5,1983,840,884,1724,176.8,2
130250,5,1975,938,938,1876,187.6,1
141000,5,1959,1150,1150,2300,191.66666666666666,1
319900,9,2005,1752,1752,3504,292.0,2
239686,7,2003,1434,2149,3583,358.1666666666667,2
249700,8,2006,1656,1656,3312,236.57142857142858,3
113000,4,1920,736,1452,2188,181.5,0
127000,5,1966,955,955,1910,159.16666666666666,1
177000,6,1997,794,1470,2264,245.0,2
114500,6,1934,816,1176,1992,196.0,2
110000,5,1963,816,816,1632,163.2,2
385000,9,1981,1842,1842,3684,368.4,3
130000,5,1955,384,1360,1744,226.66666666666666,2
180500,6,1964,1425,1425,2850,203.57142857142858,2
172500,8,1999,970,1739,2709,248.42857142857142,2
196500,7,2004,860,1720,2580,245.71428571428572,2
438780,10,2006,1410,2945,4355,294.5,3
124900,5,1972,780,780,1560,195.0,1
158000,6,2004,1158,1158,2316,231.6,2
101000,5,1920,530,1111,1641,185.16666666666666,1
202500,8,2006,1370,1370,2740,228.33333333333334,2
140000,7,1921,576,1710,2286,190.0,2
219500,7,1997,1057,2034,3091,254.25,2
317000,8,2004,1143,2473,3616,274.77777777777777,3
180000,7,1970,1947,2207,4154,315.2857142857143,2
226000,7,2003,1453,1479,2932,211.28571428571428,2
80000,4,1945,747,747,1494,186.75,1
225000,7,1953,1304,2287,3591,326.7142857142857,2
244000,7,1973,2223,2223,4446,277.875,2
129500,4,1982,845,845,1690,211.25,2
185000,7,1998,832,1718,2550,245.42857142857142,2
144900,5,1954,1086,1086,2172,181.0,2
107400,3,1915,840,1605,2445,200.625,1
91000,4,1973,462,988,1450,197.6,1
135750,4,1956,952,952,1904,238.0,1
127000,5,1948,672,1285,1957,214.16666666666666,1
136500,4,1968,1768,1768,3536,221.0,0
110000,5,1910,440,1230,1670,246.0,2
193500,6,1968,896,2142,3038,267.75,1
153500,6,1998,1237,1337,2574,267.4,2
245000,8,2007,1563,1563,3126,260.5,3
126500,5,1960,1065,1065,2130,177.5,2
168500,7,1995,384,1474,1858,210.57142857142858,2
260000,8,1991,1288,2417,3705,268.55555555555554,2
174000,6,2005,684,1560,2244,260.0,2
164500,6,2009,612,1224,1836,306.0,2
85000,3,1915,1013,1526,2539,254.33333333333334,0
123600,4,1994,990,990,1980,198.0,0
109900,4,1950,0,1040,1040,260.0,2
98600,5,1961,1235,1235,2470,205.83333333333334,2
163500,5,1921,876,964,1840,192.8,2
133900,6,1910,1214,2291,3505,254.55555555555554,2
204750,6,1997,824,1786,2610,255.14285714285714,2
185000,6,1993,680,1470,2150,245.0,2
214000,7,1999,1588,1588,3176,264.6666666666667,2
94750,4,1965,960,960,1920,160.0,1
83000,5,1920,458,835,1293,167.0,1
128950,4,1959,950,1225,2175,204.16666666666666,0
205000,6,1977,1610,1610,3220,268.3333333333333,2
178000,6,1985,741,1732,2473,247.42857142857142,2
118964,5,1979,0,1535,1535,191.875,2
198900,7,2009,1226,1226,2452,204.33333333333334,3
169500,7,1931,1040,1818,2858,259.7142857142857,1
250000,8,2003,1053,1992,3045,221.33333333333334,2
100000,4,1885,641,1047,1688,174.5,1
115000,5,1948,789,789,1578,157.8,1
115000,5,1919,793,1517,2310,216.71428571428572,0
190000,6,1977,1844,1844,3688,263.42857142857144,2
136900,6,1954,994,1855,2849,265.0,1
180000,7,2000,384,1430,1814,204.28571428571428,2
383970,7,2007,1264,2696,3960,269.6,3
217000,6,1953,1809,2259,4068,322.7142857142857,2
259500,6,1945,1028,2320,3348,257.77777777777777,1
176000,6,1999,729,1458,2187,291.6,2
139000,5,1962,1092,1092,2184,182.0,1
155000,5,2006,1125,1125,2250,225.0,2
320000,7,1990,1673,3222,4895,292.90909090909093,3
163990,6,2005,728,1456,2184,182.0,2
180000,6,1969,938,988,1926,247.0,2
100000,4,1939,732,1123,1855,280.75,1
136000,6,1958,1080,1080,2160,216.0,1
153900,6,1993,1199,1199,2398,239.8,2
181000,6,1979,1362,1586,2948,226.57142857142858,2
84500,6,1935,520,754,1274,150.8,0
128000,6,1976,1078,958,2036,191.6,2
87000,5,1930,672,840,1512,168.0,0
155000,6,1966,660,1348,2008,224.66666666666666,2
150000,5,1958,1008,1053,2061,175.5,2
226000,7,1966,924,2157,3081,269.625,2
244000,6,2000,992,2054,3046,293.42857142857144,2
150750,5,1959,1063,1327,2390,189.57142857142858,2
220000,8,2001,1267,1296,2563,216.0,2
180000,5,1968,1461,1721,3182,245.85714285714286,2
174000,7,1970,1304,1682,2986,240.28571428571428,2
143000,5,1967,1214,1214,2428,242.8,1
